playerName,firstAgent,secondAgent,thirdAgent,firstWeapon,secondWeapon,thirdWeapon,bestMap,secondBestMap,thirdBestMap,worstMap
RIG Foxy9KR,Jett,Reyna,Raze,Vandal,Phantom,Operator,Icebox,Ascent,Haven,Fracture
SEN ShahZaM,Jett,Sova,Reyna,Operator,Vandal,Phantom,Bind,Icebox,Split,Ascent
Flexible,Jett,Reyna,Cypher,Vandal,Sheriff,Operator,Breeze,Fracture,Ascent,Haven
Tuna,Sage,Reyna,Omen,Vandal,Phantom,Spectre,Fracture,Ascent,Bind,Icebox
TSM Subroza,Skye,Jett,Phoenix,Phantom,Vandal,Sheriff,Fracture,Bind,Haven,Split
Aleko,Sova,Jett,Viper,Vandal,Phantom,Spectre,Icebox,Haven,Bind,Fracture
Lucas57,Reyna,Chamber,Breach,Vandal,Phantom,Spectre,Fracture,Split,Ascent,Icebox
TNS Warrantt,Jett,Chamber,Skye,Vandal,Sheriff,Operator,Icebox,Bind,Breeze,Haven
Lz ネ,Omen,Astra,Viper,Vandal,Phantom,Ghost,Fracture,Breeze,Split,Icebox
CGN Shazeon,Sova,Sage,Viper,Vandal,Phantom,Spectre,Fracture,Bind,Haven,Icebox
NWG Monkeyking,Jett,Chamber,Raze,Vandal,Phantom,Operator,Ascent,Breeze,Haven,Split
tsuki,Reyna,Sage,Raze,Vandal,Phantom,Spectre,Ascent,Haven,Split,Fracture
TBK tuyZ,Jett,Raze,Reyna,Vandal,Phantom,Operator,Fracture,Breeze,Ascent,Split
AGRO,Sage,Phoenix,Killjoy,Vandal,Phantom,Spectre,Icebox,Fracture,Ascent,Breeze
PRL Ruxic,Omen,Viper,Sova,Vandal,Phantom,Spectre,Icebox,Fracture,Ascent,Bind
Crazymojo,Cypher,Chamber,Killjoy,Vandal,Phantom,Spectre,Fracture,Icebox,Breeze,Haven
coconut,Sova,Reyna,Omen,Vandal,Phantom,Sheriff,Ascent,Bind,Icebox,Fracture
PureR,Jett,Chamber,Reyna,Vandal,Phantom,Operator,Breeze,Fracture,Ascent,Icebox
Nishaly,Reyna,Sage,Omen,Vandal,Phantom,Ghost,Breeze,Fracture,Haven,Icebox
Cookiee,Sage,Reyna,Killjoy,Vandal,Phantom,Spectre,Fracture,Breeze,Haven,Ascent
addison,Jett,Chamber,Reyna,Vandal,Operator,Phantom,Icebox,Breeze,Bind,Haven
OPAC WARDELL,Jett,Chamber,Omen,Operator,Vandal,Phantom,Fracture,Breeze,Bind,Split
TvirusLuke,Jett,Reyna,Neon,Vandal,Phantom,Operator,Breeze,Split,Bind,Haven
TONY,Sage,Phoenix,Reyna,Vandal,Phantom,Sheriff,Fracture,Ascent,Bind,Haven
zyzz Iegacy,Jett,Reyna,Chamber,Vandal,Phantom,Operator,Icebox,Bind,Breeze,Fracture
N4RRATE,Jett,Chamber,KAY/O,Vandal,Phantom,Operator,Split,Ascent,Breeze,Icebox
Blittz,Sage,Cypher,Reyna,Vandal,Phantom,Spectre,Split,Ascent,Breeze,Fracture
Nahsie,Omen,Sova,Cypher,Vandal,Phantom,Spectre,Bind,Fracture,Icebox,Ascent
我还不够努力,Chamber,Reyna,Jett,Vandal,Phantom,Operator,Ascent,Bind,Fracture,Split
GL MARIDÃO,Jett,Reyna,Chamber,Vandal,Operator,Phantom,Split,Icebox,Fracture,Ascent
Killua,Reyna,Jett,Cypher,Vandal,Phantom,Ghost,Icebox,Bind,Haven,Ascent
CyvOph,Jett,Sage,Raze,Vandal,Phantom,Spectre,Fracture,Ascent,Split,Breeze
FANCY YESicaN,Sova,Omen,Viper,Vandal,Phantom,Ghost,Haven,Breeze,Ascent,Fracture
CGN BennY,Jett,Skye,Reyna,Vandal,Phantom,Spectre,Fracture,Bind,Breeze,Icebox
VIT YoZeii,Killjoy,Chamber,Sage,Vandal,Phantom,Operator,Icebox,Fracture,Ascent,Haven
goki,Breach,Reyna,Jett,Vandal,Phantom,Spectre,Breeze,Fracture,Ascent,Haven
woxan,Reyna,Jett,Phoenix,Vandal,Ghost,Phantom,Breeze,Ascent,Fracture,Icebox
Seulpen,Sage,Jett,Omen,Vandal,Phantom,Ghost,Icebox,Split,Breeze,Fracture
FANCY f1cio,Jett,Reyna,Raze,Vandal,Phantom,Ghost,Fracture,Breeze,Split,Bind
DaGG3r,Skye,KAY/O,Viper,Vandal,Phantom,Classic,Haven,Ascent,Split,Fracture
iiTzTimmy,Jett,Chamber,Reyna,Vandal,Phantom,Operator,Icebox,Fracture,Haven,Breeze
ONIKANN,Astra,Reyna,Chamber,Vandal,Phantom,Ghost,Fracture,Haven,Ascent,Split
robloxsurfgod777,Reyna,Jett,Sage,Vandal,Phantom,Ghost,Breeze,Icebox,Fracture,Haven
IGZ GangPin,Jett,Reyna,Sova,Vandal,Phantom,Ghost,Breeze,Icebox,Ascent,Bind
nxla,Killjoy,Jett,Reyna,Vandal,Phantom,Spectre,Icebox,Bind,Fracture,Haven
hyoon simp,Jett,Chamber,Reyna,Vandal,Phantom,Operator,Ascent,Split,Fracture,Icebox
Siy,Viper,Reyna,Chamber,Vandal,Phantom,Ghost,Breeze,Icebox,Ascent,Haven
MICKNUTTY333,Omen,Sova,Reyna,Vandal,Phantom,Spectre,Fracture,Breeze,Ascent,Bind
Xeetii,Jett,Reyna,Sova,Vandal,Phantom,Operator,Fracture,Split,Icebox,Haven
Yellow,Jett,Reyna,Omen,Vandal,Phantom,Operator,Icebox,Haven,Bind,Breeze
d3ffo mastery,Jett,Reyna,Raze,Vandal,Phantom,Sheriff,Fracture,Breeze,Ascent,Icebox
V1 Zander,Viper,Astra,Cypher,Vandal,Phantom,Ghost,Fracture,Bind,Split,Haven
yiinel,Jett,Sova,Reyna,Vandal,Phantom,Spectre,Split,Fracture,Breeze,Haven
Chetti,Jett,Chamber,Raze,Vandal,Phantom,Operator,Breeze,Haven,Ascent,Split
Favio,Jett,Reyna,Sova,Vandal,Phantom,Sheriff,Haven,Breeze,Icebox,Split
TQ UNFAKE,Sova,Killjoy,Omen,Vandal,Phantom,Guardian,Icebox,Breeze,Bind,Fracture
Bebroldaharli,Chamber,Fade,Reyna,Vandal,Operator,Sheriff,Ascent,Bind,Breeze,Icebox
MiszłaW,Jett,Reyna,Chamber,Vandal,Ghost,Operator,Breeze,Split,Bind,Icebox
guintt,Jett,Reyna,Chamber,Vandal,Phantom,Spectre,Breeze,Fracture,Ascent,Haven
Kaito,Jett,Reyna,Sage,Vandal,Operator,Phantom,Breeze,Icebox,Ascent,Split
ilystephy,Sova,Raze,Reyna,Vandal,Phantom,Ghost,Split,Bind,Icebox,Ascent
Viní JR,Chamber,Jett,Raze,Vandal,Operator,Phantom,Bind,Haven,Breeze,Split
maxhinh0,Jett,Reyna,Chamber,Vandal,Phantom,Spectre,Ascent,Haven,Icebox,Fracture
Isaac,Jett,Raze,Skye,Vandal,Phantom,Sheriff,Fracture,Breeze,Bind,Split
RXN aadaM,Jett,Reyna,Raze,Vandal,Phantom,Ghost,Split,Breeze,Haven,Icebox
HYPE leo1,Reyna,Jett,Raze,Vandal,Phantom,Operator,Icebox,Breeze,Bind,Ascent
BAAM Tommy péo,Jett,Raze,Reyna,Vandal,Phantom,Operator,Split,Breeze,Bind,Haven
real,Jett,Reyna,Raze,Vandal,Phantom,Spectre,Ascent,Bind,Icebox,Fracture
Dynasty,Omen,Sova,Raze,Vandal,Phantom,Spectre,Icebox,Bind,Ascent,Breeze
refrezh,Sova,Breach,Cypher,Vandal,Phantom,Spectre,Breeze,Icebox,Split,Haven
FENNEL JinboongE,Reyna,Breach,Jett,Vandal,Phantom,Ghost,Icebox,Split,Ascent,Fracture
斗鱼啊杰,Jett,Reyna,Chamber,Vandal,Operator,Phantom,Haven,Icebox,Ascent,Split
AE Yort,Jett,Sova,Omen,Vandal,Phantom,Ghost,Split,Haven,Bind,Icebox
revenge,Jett,Raze,Sova,Vandal,Phantom,Operator,Haven,Icebox,Fracture,Breeze
FAV bazz,Astra,Jett,Reyna,Vandal,Phantom,Spectre,Bind,Haven,Breeze,Fracture
she wanted samir,Jett,Reyna,Sage,Vandal,Phantom,Operator,Icebox,Ascent,Breeze,Fracture
GHOST johnqt,Jett,Raze,Reyna,Vandal,Phantom,Ghost,Fracture,Icebox,Split,Ascent
w0zzip,Jett,Raze,Reyna,Vandal,Phantom,Ghost,Breeze,Bind,Haven,Icebox
h4ppy,Jett,Fade,Chamber,Vandal,Phantom,Ghost,Breeze,Icebox,Haven,Bind
paranoid,Jett,Reyna,Phoenix,Vandal,Phantom,Operator,Ascent,Breeze,Haven,Fracture
LBD Saya,Jett,Reyna,Raze,Vandal,Phantom,Spectre,Fracture,Breeze,Bind,Ascent
eJutsu EliEsS,Brimstone,Raze,Jett,Vandal,Phantom,Spectre,Icebox,Bind,Ascent,Breeze
ItzScythe,Reyna,Jett,Sova,Vandal,Phantom,Sheriff,Bind,Fracture,Ascent,Haven
electus,Chamber,Raze,KAY/O,Vandal,Phantom,Spectre,Split,Fracture,Haven,Breeze
heysonwang ttv,Jett,Chamber,Reyna,Vandal,Phantom,Spectre,Fracture,Bind,Haven,Icebox
pls pls pls,Reyna,Jett,Skye,Vandal,Sheriff,Guardian,Fracture,Bind,Split,Ascent
TLX bull,Jett,Chamber,Killjoy,Vandal,Operator,Phantom,Bind,Haven,Ascent,Split
Svl Savage KR,Sage,Jett,KAY/O,Vandal,Spectre,Phantom,Icebox,Fracture,Haven,Split
luckyMrJ,Chamber,Killjoy,Reyna,Vandal,Phantom,Spectre,Icebox,Ascent,Breeze,Bind
Rabb1t,Chamber,Reyna,Jett,Vandal,Phantom,Sheriff,Haven,Breeze,Fracture,Split
MRS Fizzy,Reyna,Cypher,Omen,Vandal,Phantom,Spectre,Fracture,Split,Haven,Ascent
charoenพร,Reyna,Jett,Omen,Vandal,Phantom,Spectre,Breeze,Icebox,Bind,Haven
NASIPADANG,Chamber,Omen,Sova,Vandal,Operator,Sheriff,Ascent,Icebox,Breeze,Fracture
RIG kuroTpottsaq,Jett,Reyna,Sova,Vandal,Phantom,Spectre,Haven,Icebox,Ascent,Fracture
asta,Jett,Raze,Reyna,Vandal,Phantom,Ghost,Bind,Haven,Fracture,Split
Maiafds,Sage,Reyna,Killjoy,Vandal,Phantom,Spectre,Split,Breeze,Fracture,Haven
caioba,Raze,Sova,Reyna,Vandal,Phantom,Spectre,Icebox,Haven,Fracture,Breeze
Thom,Jett,Raze,Sova,Vandal,Phantom,Operator,Split,Ascent,Bind,Fracture
BAYDIR,Chamber,Omen,Sage,Vandal,Guardian,Ghost,Fracture,Haven,Split,Icebox
FPX DeadlyWill,Reyna,Breach,Jett,Vandal,Phantom,Ghost,Split,Icebox,Breeze,Haven
